,,,,FluSurveillance_Custom_Download_Data HOSPITALISATION,,,Waste water data,,ILI GP data,,,,ICL Lab tests ,,,,Google trends,,,
CATCHMENT,NETWORK,YEAR,WEEK,WEEKLY RATE,,sample_collect_date,pcr_target_mic_lin,,YEAR,WEEK,%UNWEIGHTED ILI,,YEAR,WEEK,PERCENT A,,Time,cough,dry cough,sore throat
New York - Rochester,EIP,2022,47,8.3,,27-Jul-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2022,47,6.5,,27-Jul-25,0.00002,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,47,6.9,,28-Jul-25,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2022,48,10,,28-Jul-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2022,48,11.8,,30-Jul-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,48,8.7,,01-Aug-25,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2022,49,12,,03-Aug-25,0.00002,,,,,,,,,,,,,
New York - Albany,EIP,2022,49,14.7,,03-Aug-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,49,7.4,,03-Aug-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2022,50,10.6,,03-Aug-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2022,50,13.4,,03-Aug-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,50,6.4,,03-Aug-25,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2022,51,9,,03-Aug-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2022,51,10.7,,03-Aug-25,0.00002,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,51,5.6,,03-Aug-25,0.00002,,,,,,,,,,,,,
New York - Rochester,EIP,2022,52,6.8,,04-Aug-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2022,52,12.8,,06-Aug-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,52,5.2,,08-Aug-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2023,1,4.7,,10-Aug-25,0.00002,,,,,,,,,,,,,
New York - Albany,EIP,2023,1,5.2,,10-Aug-25,0.00002,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2023,1,3,,10-Aug-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2023,2,1.3,,10-Aug-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2023,2,2.4,,10-Aug-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2023,2,1.3,,10-Aug-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2023,3,0.8,,10-Aug-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2023,3,1.2,,10-Aug-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2023,3,0.8,,10-Aug-25,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2023,4,1.1,,11-Aug-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2023,4,0.6,,12-Aug-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2023,4,0.5,,13-Aug-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2023,5,0.3,,13-Aug-25,0.00002,,,,,,,,,,,,,
New York - Albany,EIP,2023,5,0.4,,14-Aug-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2023,5,0.4,,17-Aug-25,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2023,6,0.3,,17-Aug-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2023,6,0.8,,17-Aug-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2023,6,0.3,,17-Aug-25,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2023,7,0.8,,17-Aug-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2023,7,0.8,,17-Aug-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2023,7,0.3,,17-Aug-25,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2023,8,0.4,,17-Aug-25,0.00002,,,,,,,,,,,,,
New York - Albany,EIP,2023,8,0.3,,17-Aug-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2023,8,0.3,,18-Aug-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2023,9,0.2,,18-Aug-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2023,9,0.6,,20-Aug-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2023,9,0.2,,20-Aug-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2023,10,0,,22-Aug-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2023,10,0.5,,24-Aug-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2023,10,0.3,,24-Aug-25,0.00004,,,,,,,,,,,,,
New York - Rochester,EIP,2023,11,0.1,,24-Aug-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2023,11,0.5,,24-Aug-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2023,11,0.3,,24-Aug-25,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2023,12,0.5,,24-Aug-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2023,12,0.4,,24-Aug-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2023,12,0.3,,24-Aug-25,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2023,13,0.3,,24-Aug-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2023,13,0.5,,25-Aug-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2023,13,0.3,,26-Aug-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2023,14,0.5,,27-Aug-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2023,14,0.7,,27-Aug-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2023,14,0.2,,28-Aug-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2023,15,0.2,,01-Sep-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2023,15,0.3,,01-Sep-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2023,15,0.2,,03-Sep-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2023,16,0.2,,05-Sep-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2023,16,0.3,,07-Sep-25,0.00002,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2023,16,0.2,,07-Sep-25,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2023,17,0.2,,07-Sep-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2023,17,0.3,,07-Sep-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2023,17,0.2,,07-Sep-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2023,40,0.1,,07-Sep-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2023,40,0.4,,07-Sep-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2023,40,0.2,,07-Sep-25,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2023,41,0.2,,07-Sep-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2023,41,0,,08-Sep-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2023,41,0.2,,09-Sep-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2023,42,0.4,,10-Sep-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2023,42,0.2,,10-Sep-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2023,42,0.3,,12-Sep-25,0.00008,,,,,,,,,,,,,
New York - Rochester,EIP,2023,43,0.5,,14-Sep-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2023,43,0.3,,14-Sep-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2023,43,0.3,,14-Sep-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2023,44,0.5,,14-Sep-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2023,44,0,,14-Sep-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2023,44,0.5,,14-Sep-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2023,45,0.9,,14-Sep-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2023,45,0.2,,14-Sep-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2023,45,0.8,,14-Sep-25,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2023,46,0.9,,15-Sep-25,0.00002,,,,,,,,,,,,,
New York - Albany,EIP,2023,46,0.8,,16-Sep-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2023,46,0.9,,17-Sep-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2023,47,1.6,,17-Sep-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2023,47,1,,19-Sep-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2023,47,1.4,,21-Sep-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2023,48,2.8,,21-Sep-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2023,48,2.1,,21-Sep-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2023,48,2.1,,21-Sep-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2023,49,5.2,,21-Sep-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2023,49,2,,21-Sep-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2023,49,2.9,,21-Sep-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2023,50,6.8,,21-Sep-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2023,50,2.1,,21-Sep-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2023,50,4.1,,22-Sep-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2023,51,12.7,,22-Sep-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2023,51,3,,23-Sep-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2023,51,6.7,,24-Sep-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2023,52,13.5,,26-Sep-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2023,52,7.2,,28-Sep-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2023,52,8.9,,28-Sep-25,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2024,1,10.1,,28-Sep-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2024,1,4.5,,28-Sep-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,1,6.9,,28-Sep-25,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2024,2,6.9,,28-Sep-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2024,2,5.7,,28-Sep-25,0.00002,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,2,5.4,,28-Sep-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2024,3,4.9,,28-Sep-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2024,3,3.1,,29-Sep-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,3,4.2,,30-Sep-25,0.00003,,,,,,,,,,,,,
New York - Rochester,EIP,2024,4,3.7,,01-Oct-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2024,4,4.5,,01-Oct-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,4,3.9,,03-Oct-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2024,5,2.7,,05-Oct-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2024,5,7.2,,05-Oct-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,5,3.5,,05-Oct-25,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2024,6,3.6,,05-Oct-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2024,6,5.9,,05-Oct-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,6,3.5,,05-Oct-25,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2024,7,3.6,,05-Oct-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2024,7,5.1,,05-Oct-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,7,3.4,,05-Oct-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2024,8,5.5,,06-Oct-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2024,8,5.6,,06-Oct-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,8,3.3,,08-Oct-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2024,9,4.4,,08-Oct-25,0.00005,,,,,,,,,,,,,
New York - Albany,EIP,2024,9,6.3,,10-Oct-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,9,3.3,,13-Oct-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2024,10,3.8,,14-Oct-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2024,10,3.5,,15-Oct-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,10,2.7,,15-Oct-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2024,11,3.7,,17-Oct-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2024,11,2.8,,19-Oct-25,0.00002,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,11,2.1,,19-Oct-25,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2024,12,2.6,,19-Oct-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2024,12,2.5,,19-Oct-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,12,1.9,,19-Oct-25,0.00003,,,,,,,,,,,,,
New York - Rochester,EIP,2024,13,2.6,,19-Oct-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2024,13,3.1,,19-Oct-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,13,1.7,,19-Oct-25,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2024,14,3,,19-Oct-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2024,14,4.6,,20-Oct-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,14,1.7,,21-Oct-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2024,15,2.8,,22-Oct-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2024,15,3.6,,22-Oct-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,15,1.3,,24-Oct-25,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2024,16,1.3,,26-Oct-25,0.00002,,,,,,,,,,,,,
New York - Albany,EIP,2024,16,1.4,,26-Oct-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,16,0.9,,26-Oct-25,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2024,17,1.1,,26-Oct-25,0.00003,,,,,,,,,,,,,
New York - Albany,EIP,2024,17,1.1,,26-Oct-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,17,0.7,,26-Oct-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2024,18,1.5,,26-Oct-25,0.00002,,,,,,,,,,,,,
New York - Albany,EIP,2024,18,0.6,,26-Oct-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,18,0.5,,26-Oct-25,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2024,19,0.6,,27-Oct-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2024,19,0.4,,27-Oct-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,19,0.4,,29-Oct-25,0.00002,,,,,,,,,,,,,
New York - Rochester,EIP,2024,20,0.3,,29-Oct-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2024,20,0.2,,31-Oct-25,0.00005,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,20,0.3,,02-Nov-25,0.00004,,,,,,,,,,,,,
New York - Rochester,EIP,2024,21,0.4,,02-Nov-25,0.00002,,,,,,,,,,,,,
New York - Albany,EIP,2024,21,0.3,,02-Nov-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,21,0.3,,02-Nov-25,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2024,22,0,,02-Nov-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2024,22,0.3,,02-Nov-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,22,0.3,,02-Nov-25,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2024,23,0.1,,02-Nov-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2024,23,0.2,,02-Nov-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,23,0.2,,03-Nov-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2024,24,0.2,,03-Nov-25,0.00006,,,,,,,,,,,,,
New York - Albany,EIP,2024,24,0,,05-Nov-25,0.00012,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,24,0.2,,05-Nov-25,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2024,25,0.3,,07-Nov-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2024,25,0,,09-Nov-25,0.00002,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,25,0.2,,09-Nov-25,0.00008,,,,,,,,,,,,,
New York - Rochester,EIP,2024,26,0.3,,09-Nov-25,0.00002,,,,,,,,,,,,,
New York - Albany,EIP,2024,26,0,,09-Nov-25,0.00002,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,26,0.2,,09-Nov-25,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2024,27,0,,09-Nov-25,0.00003,,,,,,,,,,,,,
New York - Albany,EIP,2024,27,0,,09-Nov-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,27,0.2,,09-Nov-25,0.00002,,,,,,,,,,,,,
New York - Rochester,EIP,2024,28,0.2,,09-Nov-25,0.00004,,,,,,,,,,,,,
New York - Albany,EIP,2024,28,0,,10-Nov-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,28,0.2,,10-Nov-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2024,29,0.3,,12-Nov-25,0.00008,,,,,,,,,,,,,
New York - Albany,EIP,2024,29,0,,12-Nov-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,29,0.1,,14-Nov-25,0.00023,,,,,,,,,,,,,
New York - Rochester,EIP,2024,30,0,,17-Nov-25,0.001,,,,,,,,,,,,,
New York - Albany,EIP,2024,30,0.2,,17-Nov-25,0.00002,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,30,0.1,,19-Nov-25,0.00251,,,,,,,,,,,,,
New York - Rochester,EIP,2024,31,0,,21-Nov-25,0.00054,,,,,,,,,,,,,
New York - Albany,EIP,2024,31,0,,24-Nov-25,0.00088,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,31,0.1,,25-Nov-25,0.00056,,,,,,,,,,,,,
New York - Rochester,EIP,2024,32,0,,25-Nov-25,0.00008,,,,,,,,,,,,,
New York - Albany,EIP,2024,32,0.1,,28-Nov-25,0.00144,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,32,0.1,,01-Dec-25,0.00074,,,,,,,,,,,,,
New York - Rochester,EIP,2024,33,0,,01-Dec-25,0.00003,,,,,,,,,,,,,
New York - Albany,EIP,2024,33,0,,03-Dec-25,0.00056,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,33,0.1,,03-Dec-25,0.00018,,,,,,,,,,,,,
New York - Rochester,EIP,2024,34,0,,05-Dec-25,0.00027,,,,,,,,,,,,,
New York - Albany,EIP,2024,34,0.1,,08-Dec-25,0.00075,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,34,0.1,,10-Dec-25,0.00093,,,,,,,,,,,,,
New York - Rochester,EIP,2024,35,0,,10-Dec-25,0.00113,,,,,,,,,,,,,
New York - Albany,EIP,2024,35,0.1,,11-Dec-25,0.00036,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,35,0.1,,12-Dec-25,0.00098,,,,,,,,,,,,,
New York - Rochester,EIP,2024,36,0,,15-Dec-25,0.00032,,,,,,,,,,,,,
New York - Albany,EIP,2024,36,0.1,,15-Dec-25,0.00051,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,36,0.1,,17-Dec-25,0.00061,,,,,,,,,,,,,
New York - Albany,EIP,2024,37,0.1,,17-Dec-25,0.00082,,,,,,,,,,,,,
New York - Rochester,EIP,2024,37,0.2,,19-Dec-25,0.00214,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,37,0.1,,22-Dec-25,0.00058,,,,,,,,,,,,,
New York - Rochester,EIP,2024,38,0.1,,22-Dec-25,0.00288,,,,,,,,,,,,,
New York - Albany,EIP,2024,38,0.1,,23-Dec-25,0.00271,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,38,0.1,,26-Dec-25,0.00138,,,,,,,,,,,,,
New York - Rochester,EIP,2024,39,0,,29-Dec-25,0.00231,,,,,,,,,,,,,
New York - Albany,EIP,2024,39,0,,30-Dec-25,0.00098,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,39,0,,31-Dec-25,0.00114,,,,,,,,,,,,,
New York - Rochester,EIP,2024,40,0,,02-Jan-26,0.00071,,,,,,,,,,,,,
New York - Albany,EIP,2024,40,0,,05-Jan-26,0.00031,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,40,0.1,,05-Jan-26,0.00181,,,,,,,,,,,,,
New York - Rochester,EIP,2024,41,0,,07-Jan-26,0.00064,,,,,,,,,,,,,
New York - Albany,EIP,2024,41,0.1,,07-Jan-26,0.00044,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,41,0.1,,09-Jan-26,0.00057,,,,,,,,,,,,,
New York - Rochester,EIP,2024,42,0,,12-Jan-26,0.0003,,,,,,,,,,,,,
New York - Albany,EIP,2024,42,0.1,,13-Jan-26,0.00044,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,42,0.2,,13-Jan-26,0.0006,,,,,,,,,,,,,
New York - Rochester,EIP,2024,43,0.1,,14-Jan-26,0.00035,,,,,,,,,,,,,
New York - Albany,EIP,2024,43,0.2,,16-Jan-26,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,43,0.2,,19-Jan-26,0.00026,,,,,,,,,,,,,
New York - Rochester,EIP,2024,44,0.3,,19-Jan-26,0.00021,,,,,,,,,,,,,
New York - Albany,EIP,2024,44,0.1,,21-Jan-26,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,44,0.2,,23-Jan-26,0.00021,,,,,,,,,,,,,
New York - Rochester,EIP,2024,45,0.2,,26-Jan-26,0.00065,,,,,,,,,,,,,
New York - Albany,EIP,2024,45,0.1,,26-Jan-26,0.00003,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,45,0.3,,28-Jan-26,0.00009,,,,,,,,,,,,,
New York - Rochester,EIP,2024,46,0.4,,28-Jan-26,0.00135,,,,,,,,,,,,,
New York - Albany,EIP,2024,46,0.2,,30-Jan-26,0.00008,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,46,0.4,,02-Feb-26,0.00022,,,,,,,,,,,,,
New York - Rochester,EIP,2024,47,0.4,,02-Feb-26,0.00003,,,,,,,,,,,,,
New York - Albany,EIP,2024,47,0.4,,04-Feb-26,0.00004,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,47,0.5,,04-Feb-26,0.00066,,,,,,,,,,,,,
New York - Rochester,EIP,2024,48,0.8,,06-Feb-26,0,,,,,,,,,,,,,
New York - Albany,EIP,2024,48,0.2,,09-Feb-26,0.00016,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,48,0.6,,09-Feb-26,0.00004,,,,,,,,,,,,,
New York - Rochester,EIP,2024,49,2.1,,11-Feb-26,0.00002,,,,,,,,,,,,,
New York - Albany,EIP,2024,49,0.7,,11-Feb-26,0.00081,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,49,1.2,,13-Feb-26,0,,,,,,,,,,,,,
New York - Rochester,EIP,2024,50,2.1,,16-Feb-26,0.00014,,,,,,,,,,,,,
New York - Albany,EIP,2024,50,0.7,,16-Feb-26,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,50,2.1,,18-Feb-26,0.00008,,,,,,,,,,,,,
New York - Rochester,EIP,2024,51,3.1,,20-Feb-26,0,,,,,,,,,,,,,
New York - Albany,EIP,2024,51,1.7,,23-Feb-26,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,51,3.8,,23-Feb-26,0.00004,,,,,,,,,,,,,
New York - Rochester,EIP,2024,52,7.5,,25-Feb-26,0,,,,,,,,,,,,,
New York - Albany,EIP,2024,52,5.2,,27-Feb-26,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2024,52,7.7,,02-Mar-26,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2025,1,10.9,,02-Mar-26,0.00002,,,,,,,,,,,,,
New York - Albany,EIP,2025,1,7.5,,04-Mar-26,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2025,1,10.1,,04-Mar-26,0,,,,,,,,,,,,,
New York - Rochester,EIP,2025,2,9,,06-Mar-26,0.00016,,,,,,,,,,,,,
New York - Albany,EIP,2025,2,7.6,,09-Mar-26,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2025,2,8.4,,09-Mar-26,0,,,,,,,,,,,,,
New York - Rochester,EIP,2025,3,10.2,,11-Mar-26,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2025,3,10,,11-Mar-26,0.00005,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2025,3,9.2,,13-Mar-26,0,,,,,,,,,,,,,
New York - Rochester,EIP,2025,4,14,,16-Mar-26,0,,,,,,,,,,,,,
New York - Albany,EIP,2025,4,8.1,,16-Mar-26,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2025,4,10.9,,18-Mar-26,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2025,5,20.3,,18-Mar-26,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2025,5,14.6,,20-Mar-26,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2025,5,13.4,,23-Mar-26,0,,,,,,,,,,,,,
New York - Rochester,EIP,2025,6,19.9,,23-Mar-26,0,,,,,,,,,,,,,
New York - Albany,EIP,2025,6,14.5,,25-Mar-26,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2025,6,13.5,,25-Mar-26,0,,,,,,,,,,,,,
New York - Rochester,EIP,2025,7,18.5,,27-Mar-26,0.00023,,,,,,,,,,,,,
New York - Albany,EIP,2025,7,13.1,,30-Mar-26,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2025,7,10.6,,30-Mar-26,0.00004,,,,,,,,,,,,,
New York - Rochester,EIP,2025,8,15.5,,01-Apr-26,0.00004,,,,,,,,,,,,,
New York - Albany,EIP,2025,8,10.9,,01-Apr-26,0.00006,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2025,8,8.4,,06-Apr-26,0,,,,,,,,,,,,,
New York - Rochester,EIP,2025,9,13.5,,06-Apr-26,0,,,,,,,,,,,,,
New York - Albany,EIP,2025,9,10.9,,08-Apr-26,0.00002,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2025,9,6.7,,08-Apr-26,0,,,,,,,,,,,,,
