Date,Temp,WeekOfYear,SinWeek,CosWeek
2021-05-05,5.9,18,0.8229838658936565,-0.5680647467311557
2021-05-06,5.8,18,0.8229838658936565,-0.5680647467311557
2021-05-07,7.4,18,0.8229838658936565,-0.5680647467311557
2021-05-08,9.9,18,0.8229838658936565,-0.5680647467311557
2021-05-09,13.2,18,0.8229838658936565,-0.5680647467311557
2021-05-10,12.5,19,0.7485107481711013,-0.6631226582407951
2021-05-11,10.6,19,0.7485107481711013,-0.6631226582407951
2021-05-12,10.7,19,0.7485107481711013,-0.6631226582407951
2021-05-13,11.0,19,0.7485107481711013,-0.6631226582407951
2021-05-14,9.8,19,0.7485107481711013,-0.6631226582407951
2021-05-15,10.3,19,0.7485107481711013,-0.6631226582407951
2021-05-16,11.2,19,0.7485107481711013,-0.6631226582407951
2021-05-17,11.7,20,0.6631226582407952,-0.7485107481711012
2021-05-18,10.6,20,0.6631226582407952,-0.7485107481711012
2021-05-19,11.0,20,0.6631226582407952,-0.7485107481711012
2021-05-20,8.8,20,0.6631226582407952,-0.7485107481711012
2021-05-21,10.6,20,0.6631226582407952,-0.7485107481711012
2021-05-22,10.1,20,0.6631226582407952,-0.7485107481711012
2021-05-23,8.6,20,0.6631226582407952,-0.7485107481711012
2021-05-24,9.3,21,0.5680647467311558,-0.8229838658936564
2021-05-25,10.6,21,0.5680647467311558,-0.8229838658936564
2021-05-26,10.2,21,0.5680647467311558,-0.8229838658936564
2021-05-27,12.0,21,0.5680647467311558,-0.8229838658936564
2021-05-28,13.3,21,0.5680647467311558,-0.8229838658936564
2021-05-29,15.8,21,0.5680647467311558,-0.8229838658936564
2021-05-30,13.9,21,0.5680647467311558,-0.8229838658936564
2021-05-31,14.0,22,0.46472317204376906,-0.8854560256532096
2021-06-01,16.5,22,0.46472317204376906,-0.8854560256532096
2021-06-02,18.0,22,0.46472317204376906,-0.8854560256532096
2021-06-03,16.8,22,0.46472317204376906,-0.8854560256532096
2021-06-04,13.7,22,0.46472317204376906,-0.8854560256532096
2021-06-05,15.0,22,0.46472317204376906,-0.8854560256532096
2021-06-06,16.8,22,0.46472317204376906,-0.8854560256532096
2021-06-07,16.9,23,0.35460488704253584,-0.9350162426854147
2021-06-08,15.0,23,0.35460488704253584,-0.9350162426854147
2021-06-09,16.6,23,0.35460488704253584,-0.9350162426854147
2021-06-10,18.5,23,0.35460488704253584,-0.9350162426854147
2021-06-11,17.8,23,0.35460488704253584,-0.9350162426854147
2021-06-12,15.8,23,0.35460488704253584,-0.9350162426854147
2021-06-13,17.8,23,0.35460488704253584,-0.9350162426854147
2021-06-14,17.6,24,0.23931566428755768,-0.970941817426052
2021-06-15,16.1,24,0.23931566428755768,-0.970941817426052
2021-06-16,17.8,24,0.23931566428755768,-0.970941817426052
2021-06-17,17.0,24,0.23931566428755768,-0.970941817426052
2021-06-18,13.2,24,0.23931566428755768,-0.970941817426052
2021-06-19,13.6,24,0.23931566428755768,-0.970941817426052
2021-06-20,13.4,24,0.23931566428755768,-0.970941817426052
2021-06-21,11.7,25,0.12053668025532308,-0.992708874098054
2021-06-22,12.3,25,0.12053668025532308,-0.992708874098054
2021-06-23,11.9,25,0.12053668025532308,-0.992708874098054
2021-06-24,14.8,25,0.12053668025532308,-0.992708874098054
2021-06-25,14.7,25,0.12053668025532308,-0.992708874098054
2021-06-26,15.6,25,0.12053668025532308,-0.992708874098054
2021-06-27,15.6,25,0.12053668025532308,-0.992708874098054
2021-06-28,15.5,26,-3.216245299353273e-16,-1.0
2021-06-29,16.2,26,-3.216245299353273e-16,-1.0
2021-06-30,14.9,26,-3.216245299353273e-16,-1.0
2021-07-01,15.4,26,-3.216245299353273e-16,-1.0
2021-07-02,17.3,26,-3.216245299353273e-16,-1.0
2021-07-03,17.8,26,-3.216245299353273e-16,-1.0
2021-07-04,17.5,26,-3.216245299353273e-16,-1.0
2021-07-05,16.1,27,-0.12053668025532283,-0.992708874098054
2021-07-06,15.0,27,-0.12053668025532283,-0.992708874098054
2021-07-07,16.9,27,-0.12053668025532283,-0.992708874098054
2021-07-08,16.9,27,-0.12053668025532283,-0.992708874098054
2021-07-09,16.9,27,-0.12053668025532283,-0.992708874098054
2021-07-10,16.7,27,-0.12053668025532283,-0.992708874098054
2021-07-11,16.1,27,-0.12053668025532283,-0.992708874098054
2021-07-12,16.7,28,-0.23931566428755743,-0.9709418174260521
2021-07-13,17.9,28,-0.23931566428755743,-0.9709418174260521
2021-07-14,17.1,28,-0.23931566428755743,-0.9709418174260521
