theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-06-01,7.9300,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_baselineRateByDay,all,all,default,2026,2026-06-01,7.6900,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-06-01,10.6000,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-31,8.0400,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_baselineRateByDay,all,all,default,2026,2026-05-31,7.7500,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-31,0.2200,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-30,8.0300,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_baselineRateByDay,all,all,default,2026,2026-05-30,7.8100,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-30,0.4000,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-29,7.8100,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_baselineRateByDay,all,all,default,2026,2026-05-29,8.0300,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-29,7.1900,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-28,7.7900,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_baselineRateByDay,all,all,default,2026,2026-05-28,8.2000,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-28,7.4700,False
