theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-04-28,23.9200,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-04-28,24.7500,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-04-27,23.7400,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-04-27,29.6100,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-04-26,23.5200,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-04-26,1.9800,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-04-25,23.3700,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-04-25,3.9100,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-04-24,23.0700,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-04-24,20.0000,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-04-23,22.9800,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-04-23,20.9600,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-04-22,22.9800,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-04-22,21.5300,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-04-21,22.9800,False
