Season,ISOyear,WeekBeginning,WeekEnding,WastewaterTreatmentWork,Average(Mgc),Average(Mgc)QF,PercentCoverage
2019/20,2020,20200606,20200612,Grantown on Spey,NA,:,0
2019/20,2020,20200606,20200612,Oban,NA,:,0
2019/20,2020,20200606,20200612,Thurso,NA,:,0
2019/20,2020,20200606,20200612,Wick,NA,:,0
2019/20,2020,20200606,20200612,Allers,NA,:,0
2019/20,2020,20200606,20200612,Biggar,NA,:,0
2019/20,2020,20200606,20200612,Blackwood,NA,:,0
2019/20,2020,20200606,20200612,Bothwellbank,NA,:,0
2019/20,2020,20200606,20200612,Dunnswood,NA,:,0
2019/20,2020,20200606,20200612,Harthill,NA,:,0
2019/20,2020,20200606,20200612,Lanark,NA,:,0
2019/20,2020,20200606,20200612,Lesmahagow,NA,:,0
2019/20,2020,20200606,20200612,Mauldslie,NA,:,0
2019/20,2020,20200606,20200612,Shotts,NA,:,0
2019/20,2020,20200606,20200612,Skellyton,NA,:,0
2019/20,2020,20200606,20200612,Stonehouse,NA,:,0
2019/20,2020,20200606,20200612,Strathaven,NA,:,0
2019/20,2020,20200606,20200612,Swinstie,NA,:,0
2019/20,2020,20200606,20200612,Armadale,NA,:,0
2019/20,2020,20200606,20200612,Bathgate,NA,:,0
2019/20,2020,20200606,20200612,Blackburn,NA,:,0
2019/20,2020,20200606,20200612,Blackridge,NA,:,0
2019/20,2020,20200606,20200612,Dunbar,NA,:,0
2019/20,2020,20200606,20200612,East Calder,NA,:,0
2019/20,2020,20200606,20200612,Fauldhouse,NA,:,0
2019/20,2020,20200606,20200612,Haddington,NA,:,0
2019/20,2020,20200606,20200612,Linlithgow,NA,:,0
2019/20,2020,20200606,20200612,Newbridge,NA,:,0
2019/20,2020,20200606,20200612,Penicuik,NA,:,0
2019/20,2020,20200606,20200612,Whitburn,NA,:,0
2019/20,2020,20200606,20200612,Winchburgh,NA,:,0
2019/20,2020,20200606,20200612,Blairgowrie,NA,:,0
2019/20,2020,20200606,20200612,Forfar,NA,:,0
2019/20,2020,20200606,20200612,Montrose,NA,:,0
2019/20,2020,20200606,20200612,Perth,NA,:,0
2019/20,2020,20200613,20200619,Meadowhead,NA,:,0
2019/20,2020,20200613,20200619,Galashiels,NA,:,0
2019/20,2020,20200613,20200619,Hawick,NA,:,0
2019/20,2020,20200613,20200619,Peebles,NA,:,0
2019/20,2020,20200613,20200619,Annan,NA,:,0
2019/20,2020,20200613,20200619,Dalbeattie,NA,:,0
2019/20,2020,20200613,20200619,Dalscone,NA,:,0
2019/20,2020,20200613,20200619,Lockerbie,NA,:,0
2019/20,2020,20200613,20200619,Troqueer,NA,:,0
2019/20,2020,20200613,20200619,Dunfermline,NA,:,0
2019/20,2020,20200613,20200619,Levenmouth,0,,100
2019/20,2020,20200613,20200619,Falkirk,NA,:,0
2019/20,2020,20200613,20200619,Stirling,NA,:,0
2019/20,2020,20200613,20200619,Nigg,NA,:,0
2019/20,2020,20200613,20200619,Dalmuir,NA,:,0
2019/20,2020,20200613,20200619,Shieldhall,0.17,,100
2019/20,2020,20200613,20200619,Allanfearn,0,,100
2019/20,2020,20200613,20200619,Fort William,NA,:,0
2019/20,2020,20200613,20200619,Helensburgh,NA,:,0
2019/20,2020,20200613,20200619,Nairn,NA,:,0
2019/20,2020,20200613,20200619,Carbarns,0,,100
2019/20,2020,20200613,20200619,Hamilton,NA,:,0
2019/20,2020,20200613,20200619,Philipshill,NA,:,0
2019/20,2020,20200613,20200619,Seafield,NA,:,0
2019/20,2020,20200613,20200619,Kirkwall,0,,100
2019/20,2020,20200613,20200619,Lerwick,NA,:,0
2019/20,2020,20200613,20200619,Hatton,NA,:,0
2019/20,2020,20200613,20200619,Stornoway,NA,:,0
2019/20,2020,20200613,20200619,Cumnock,NA,:,0
2019/20,2020,20200613,20200619,Fairlie,NA,:,0
2019/20,2020,20200613,20200619,Girvan,NA,:,0
2019/20,2020,20200613,20200619,Largs,NA,:,0
2019/20,2020,20200613,20200619,Maybole,NA,:,0
2019/20,2020,20200613,20200619,Muirkirk,NA,:,0
2019/20,2020,20200613,20200619,New Cumnock,NA,:,0
2019/20,2020,20200613,20200619,Stevenston,NA,:,0
2019/20,2020,20200613,20200619,Coldstream,NA,:,0
2019/20,2020,20200613,20200619,Duns,NA,:,0
2019/20,2020,20200613,20200619,Eyemouth,NA,:,0
2019/20,2020,20200613,20200619,Jedburgh,NA,:,0
2019/20,2020,20200613,20200619,Kelso,NA,:,0
2019/20,2020,20200613,20200619,Newtown St Boswell,NA,:,0
2019/20,2020,20200613,20200619,Selkirk,NA,:,0
2019/20,2020,20200613,20200619,Langholm,NA,:,0
2019/20,2020,20200613,20200619,Loch Ryan,NA,:,0
2019/20,2020,20200613,20200619,Sanquhar,NA,:,0
2019/20,2020,20200613,20200619,Bowhouse,NA,:,0
2019/20,2020,20200613,20200619,Cupar,NA,:,0
2019/20,2020,20200613,20200619,Guardbridge,NA,:,0
2019/20,2020,20200613,20200619,Ironmill Bay,NA,:,0
2019/20,2020,20200613,20200619,Kincardine,NA,:,0
2019/20,2020,20200613,20200619,Kirkcaldy,NA,:,0
2019/20,2020,20200613,20200619,Newburgh,NA,:,0
2019/20,2020,20200613,20200619,Newport & Tayport,NA,:,0
2019/20,2020,20200613,20200619,Springfield,NA,:,0
2019/20,2020,20200613,20200619,St Andrews,NA,:,0
2019/20,2020,20200613,20200619,Alloa,NA,:,0
2019/20,2020,20200613,20200619,Alva,NA,:,0
2019/20,2020,20200613,20200619,Boness,NA,:,0
2019/20,2020,20200613,20200619,Bonnybridge,NA,:,0
2019/20,2020,20200613,20200619,Denny,NA,:,0
2019/20,2020,20200613,20200619,Dunblane,NA,:,0
2019/20,2020,20200613,20200619,Kinneil,NA,:,0
2019/20,2020,20200613,20200619,Tillicoultry,NA,:,0
2019/20,2020,20200613,20200619,Banchory,NA,:,0
2019/20,2020,20200613,20200619,Banff,NA,:,0
2019/20,2020,20200613,20200619,Buckie,NA,:,0
2019/20,2020,20200613,20200619,Ellon,NA,:,0
2019/20,2020,20200613,20200619,Forres,NA,:,0
2019/20,2020,20200613,20200619,Fraserburgh,NA,:,0
2019/20,2020,20200613,20200619,Huntly,NA,:,0
2019/20,2020,20200613,20200619,Inverurie,NA,:,0
2019/20,2020,20200613,20200619,Lossiemouth,NA,:,0
2019/20,2020,20200613,20200619,Persley,NA,:,0
2019/20,2020,20200613,20200619,Peterhead,NA,:,0
2019/20,2020,20200613,20200619,Turriff,NA,:,0
2019/20,2020,20200613,20200619,Ardoch,NA,:,0
2019/20,2020,20200613,20200619,Daldowie,NA,:,0
2019/20,2020,20200613,20200619,Dalmarnock,NA,:,0
2019/20,2020,20200613,20200619,Erskine,NA,:,0
2019/20,2020,20200613,20200619,Inverclyde,NA,:,0
2019/20,2020,20200613,20200619,Neilston,NA,:,0
2019/20,2020,20200613,20200619,Paisley,NA,:,0
2019/20,2020,20200613,20200619,Uplawmoor,NA,:,0
2019/20,2020,20200613,20200619,Alness,NA,:,0
2019/20,2020,20200613,20200619,Aviemore,NA,:,0
2019/20,2020,20200613,20200619,Dunoon,NA,:,0
2019/20,2020,20200613,20200619,Grantown on Spey,NA,:,0
2019/20,2020,20200613,20200619,Oban,NA,:,0
2019/20,2020,20200613,20200619,Thurso,NA,:,0
2019/20,2020,20200613,20200619,Wick,NA,:,0
2019/20,2020,20200613,20200619,Allers,NA,:,0
2019/20,2020,20200613,20200619,Biggar,NA,:,0
2019/20,2020,20200613,20200619,Blackwood,NA,:,0
2019/20,2020,20200613,20200619,Bothwellbank,NA,:,0
2019/20,2020,20200613,20200619,Dunnswood,NA,:,0
2019/20,2020,20200613,20200619,Harthill,NA,:,0
2019/20,2020,20200613,20200619,Lanark,NA,:,0
2019/20,2020,20200613,20200619,Lesmahagow,NA,:,0
2019/20,2020,20200613,20200619,Mauldslie,NA,:,0
2019/20,2020,20200613,20200619,Shotts,NA,:,0
2019/20,2020,20200613,20200619,Skellyton,NA,:,0
2019/20,2020,20200613,20200619,Stonehouse,NA,:,0
2019/20,2020,20200613,20200619,Strathaven,NA,:,0
2019/20,2020,20200613,20200619,Swinstie,NA,:,0
2019/20,2020,20200613,20200619,Armadale,NA,:,0
2019/20,2020,20200613,20200619,Bathgate,NA,:,0
2019/20,2020,20200613,20200619,Blackburn,NA,:,0
2019/20,2020,20200613,20200619,Blackridge,NA,:,0
2019/20,2020,20200613,20200619,Dunbar,NA,:,0
2019/20,2020,20200613,20200619,East Calder,NA,:,0
2019/20,2020,20200613,20200619,Fauldhouse,NA,:,0
2019/20,2020,20200613,20200619,Haddington,NA,:,0
2019/20,2020,20200613,20200619,Linlithgow,NA,:,0
2019/20,2020,20200613,20200619,Newbridge,NA,:,0
2019/20,2020,20200613,20200619,Penicuik,NA,:,0
2019/20,2020,20200613,20200619,Whitburn,NA,:,0
2019/20,2020,20200613,20200619,Winchburgh,NA,:,0
2019/20,2020,20200613,20200619,Blairgowrie,NA,:,0
2019/20,2020,20200613,20200619,Forfar,NA,:,0
2019/20,2020,20200613,20200619,Montrose,NA,:,0
2019/20,2020,20200613,20200619,Perth,NA,:,0
2019/20,2020,20200627,20200703,Meadowhead,NA,:,0
2019/20,2020,20200627,20200703,Galashiels,0,,100
2019/20,2020,20200627,20200703,Hawick,0,,100
2019/20,2020,20200627,20200703,Peebles,0,,100
2019/20,2020,20200627,20200703,Annan,NA,:,0
2019/20,2020,20200627,20200703,Dalbeattie,NA,:,0
2019/20,2020,20200627,20200703,Dalscone,NA,:,0
2019/20,2020,20200627,20200703,Lockerbie,NA,:,0
2019/20,2020,20200627,20200703,Troqueer,NA,:,0
2019/20,2020,20200627,20200703,Dunfermline,NA,:,0
2019/20,2020,20200627,20200703,Levenmouth,0,,100
2019/20,2020,20200627,20200703,Falkirk,NA,:,0
2019/20,2020,20200627,20200703,Stirling,0,,100
2019/20,2020,20200627,20200703,Nigg,0,,100
2019/20,2020,20200627,20200703,Dalmuir,0,,100
